date,price
2024-06-23,0.616
2024-06-24,0.6232
2024-06-25,0.641
2024-06-26,0.614
2024-06-27,0.625
2024-06-28,0.6117
2024-06-29,0.6031
2024-06-30,0.6292
2024-07-01,0.618
2024-07-02,0.623
2024-07-03,0.5981
2024-07-04,0.5351
2024-07-05,0.51
2024-07-06,0.544
2024-07-07,0.506
2024-07-08,0.523
2024-07-09,0.5441
2024-07-10,0.5526
2024-07-11,0.544
2024-07-12,0.556
2024-07-13,0.573
2024-07-14,0.5829
2024-07-15,0.6248
2024-07-16,0.617
2024-07-17,0.615
2024-07-18,0.6059
2024-07-19,0.6426
2024-07-20,0.647
2024-07-21,0.6525
2024-07-22,0.6255
2024-07-23,0.6009
2024-07-24,0.67
2024-07-25,0.6342
2024-07-26,0.6759
2024-07-27,0.6761
2024-07-28,0.6565
2024-07-29,0.664
2024-07-30,0.6802
2024-07-31,0.6711
2024-08-01,0.6986
2024-08-02,0.6038
2024-08-03,0.559
2024-08-04,0.53
2024-08-05,0.508
2024-08-06,0.521
2024-08-07,0.509
2024-08-08,0.561
2024-08-09,0.555
2024-08-10,0.564
2024-08-11,0.5285
2024-08-12,0.554
2024-08-13,0.5597
2024-08-14,0.5451
2024-08-15,0.526
2024-08-16,0.5276
2024-08-17,0.534
2024-08-18,0.5273
2024-08-19,0.5389
2024-08-20,0.5455
2024-08-21,0.5737
2024-08-22,0.58
2024-08-23,0.6091
2024-08-24,0.6132
2024-08-25,0.5985
2024-08-26,0.5725
2024-08-27,0.5482
2024-08-28,0.5367
2024-08-29,0.5522
2024-08-30,0.5554
2024-08-31,0.553
2024-09-01,0.5283
2024-09-02,0.5657
2024-09-03,0.5482
2024-09-04,0.5561
2024-09-05,0.5321
2024-09-06,0.5165
2024-09-07,0.5149
2024-09-08,0.5234
2024-09-09,0.5398
2024-09-10,0.5407
2024-09-11,0.5475
2024-09-12,0.559
2024-09-13,0.563
2024-09-14,0.56
2024-09-15,0.5405
2024-09-16,0.5254
2024-09-17,0.5355
2024-09-18,0.5457
2024-09-19,0.568
2024-09-20,0.5788
2024-09-21,0.5955
2024-09-22,0.5756
2024-09-23,0.5875
2024-09-24,0.6047
2024-09-25,0.6008
2024-09-26,0.6235
2024-09-27,0.6289
2024-09-28,0.6173
2024-09-29,0.6158
2024-09-30,0.5816
2024-10-01,0.5376
2024-10-02,0.531
2024-10-03,0.5264
2024-10-04,0.5444
2024-10-05,0.5508
2024-10-06,0.5515
2024-10-07,0.5374
2024-10-08,0.537
2024-10-09,0.5256
2024-10-10,0.5212
2024-10-11,0.5431
2024-10-12,0.5513
2024-10-13,0.541
2024-10-14,0.5644
2024-10-15,0.559
2024-10-16,0.5514
2024-10-17,0.536
2024-10-18,0.5574
2024-10-19,0.5611
2024-10-20,0.5923
2024-10-21,0.5709
2024-10-22,0.568
2024-10-23,0.5402
2024-10-24,0.5472
2024-10-25,0.5124
2024-10-26,0.5111
2024-10-27,0.515
2024-10-28,0.5218
2024-10-29,0.5437
2024-10-30,0.543
2024-10-31,0.5092
2024-11-01,0.5089
2024-11-02,0.5063
2024-11-03,0.4843
2024-11-04,0.477
2024-11-05,0.4994
2024-11-06,0.54
2024-11-07,0.5388
2024-11-08,0.544
2024-11-09,0.564
2024-11-10,0.6043
2024-11-11,0.6333
2024-11-12,0.6109
2024-11-13,0.593
2024-11-14,0.5704
2024-11-15,0.6257
2024-11-16,0.693
2024-11-17,0.6413
2024-11-18,0.7227
2024-11-19,0.706
2024-11-20,0.677
2024-11-21,0.712
2024-11-22,0.7571
2024-11-23,0.8529
2024-11-24,0.9628
2024-11-25,0.8865
2024-11-26,0.869
2024-11-27,0.9084
2024-11-28,0.8853
2024-11-29,0.988
2024-11-30,0.9896
2024-12-01,1.02
2024-12-02,1.069
2024-12-03,1.145
2024-12-04,1.219
2024-12-05,1.152
2024-12-06,1.158
2024-12-07,1.146
2024-12-08,1.171
2024-12-09,0.9484
2024-12-10,0.9115
2024-12-11,0.9772
2024-12-12,0.993
2024-12-13,0.9882
2024-12-14,0.9333
2024-12-15,0.959
2024-12-16,0.9207
2024-12-17,0.872
2024-12-18,0.7888
2024-12-19,0.719
2024-12-20,0.7444
2024-12-21,0.7056
2024-12-22,0.7193
2024-12-23,0.7726
2024-12-24,0.7984
2024-12-25,0.765
2024-12-26,0.7065
2024-12-27,0.7201
2024-12-28,0.742
2024-12-29,0.7054
2024-12-30,0.7079
2024-12-31,0.695
2025-01-01,0.727
2025-01-02,0.7422
2025-01-03,0.7902
2025-01-04,0.7928
2025-01-05,0.8055
2025-01-06,0.838
2025-01-07,0.7505
2025-01-08,0.7275
2025-01-09,0.727
2025-01-10,0.7504
2025-01-11,0.7459
2025-01-12,0.726
2025-01-13,0.7012
2025-01-14,0.7313
2025-01-15,0.7813
2025-01-16,0.7591
2025-01-17,0.8094
2025-01-18,0.747
2025-01-19,0.6851
2025-01-20,0.7041
2025-01-21,0.7197
2025-01-22,0.6902
2025-01-23,0.69
2025-01-24,0.6728
2025-01-25,0.6835
2025-01-26,0.662
2025-01-27,0.6426
2025-01-28,0.6049
2025-01-29,0.6184
2025-01-30,0.644
2025-01-31,0.6482
2025-02-01,0.6002
2025-02-02,0.5187
2025-02-03,0.5341
2025-02-04,0.4975
2025-02-05,0.4877
2025-02-06,0.4697
2025-02-07,0.477
2025-02-08,0.502
2025-02-09,0.496
2025-02-10,0.51
2025-02-11,0.5091
2025-02-12,0.534
2025-02-13,0.523
2025-02-14,0.53
2025-02-15,0.5151
2025-02-16,0.5141
2025-02-17,0.5201
2025-02-18,0.4991
2025-02-19,0.5209
2025-02-20,0.5359
2025-02-21,0.515
2025-02-22,0.5319
2025-02-23,0.5209
2025-02-24,0.4695
2025-02-25,0.4719
2025-02-26,0.469
2025-02-27,0.483
2025-02-28,0.4819
2025-03-01,0.4721
2025-03-02,0.5213
2025-03-03,0.4482
2025-03-04,0.4389
2025-03-05,0.458
2025-03-06,0.4392
2025-03-07,0.437
2025-03-08,0.4311
2025-03-09,0.394
2025-03-10,0.3761
2025-03-11,0.389
2025-03-12,0.4011
2025-03-13,0.3921
2025-03-14,0.4021
2025-03-15,0.4148
2025-03-16,0.401
2025-03-17,0.419
2025-03-18,0.424
2025-03-19,0.439
2025-03-20,0.421
2025-03-21,0.411
2025-03-22,0.416
2025-03-23,0.4127
2025-03-24,0.4284
2025-03-25,0.4288
2025-03-26,0.424
2025-03-27,0.421
2025-03-28,0.3934
2025-03-29,0.378
2025-03-30,0.3796
2025-03-31,0.381
2025-04-01,0.388
2025-04-02,0.37
2025-04-03,0.369
2025-04-04,0.375
2025-04-05,0.37
2025-04-06,0.334
2025-04-07,0.328
2025-04-08,0.312
2025-04-09,0.346
2025-04-10,0.339
2025-04-11,0.3473
2025-04-12,0.3619
2025-04-13,0.349
2025-04-14,0.3512
2025-04-15,0.3423
2025-04-16,0.3432
2025-04-17,0.3459
2025-04-18,0.3607
2025-04-19,0.369
2025-04-20,0.3745
2025-04-21,0.368
2025-04-22,0.3916
2025-04-23,0.3943
2025-04-24,0.4029
2025-04-25,0.407
2025-04-26,0.41
2025-04-27,0.3942
2025-04-28,0.407
2025-04-29,0.4
2025-04-30,0.402
2025-05-01,0.406
2025-05-02,0.404
2025-05-03,0.383
2025-05-04,0.3709
2025-05-05,0.376
2025-05-06,0.3686
2025-05-07,0.369
2025-05-08,0.4108
2025-05-09,0.4333
2025-05-10,0.4636
2025-05-11,0.4548
2025-05-12,0.4543
2025-05-13,0.47
2025-05-14,0.4496
2025-05-15,0.4276
2025-05-16,0.4185
2025-05-17,0.404
2025-05-18,0.4189
2025-05-19,0.4041
2025-05-20,0.4065
2025-05-21,0.417
2025-05-22,0.436
2025-05-23,0.4064
2025-05-24,0.4
2025-05-25,0.4018
2025-05-26,0.3931
2025-05-27,0.398
2025-05-28,0.4049
2025-05-29,0.394
2025-05-30,0.3582
2025-05-31,0.366
2025-06-01,0.366
2025-06-02,0.3768
2025-06-03,0.3756
2025-06-04,0.3655
2025-06-05,0.3471
2025-06-06,0.3542
2025-06-07,0.3659
2025-06-08,0.3642
2025-06-09,0.3818
2025-06-10,0.3991
2025-06-11,0.3813
2025-06-12,0.3621
2025-06-13,0.3528
2025-06-14,0.3526
2025-06-15,0.3511
2025-06-16,0.3515
2025-06-17,0.3467
2025-06-18,0.3452
2025-06-19,0.3433
2025-06-20,0.3348
2025-06-21,0.3209
2025-06-22,0.304
2025-06-23,0.3302
2025-06-24,0.3292
2025-06-25,0.3259
2025-06-26,0.3171
2025-06-27,0.3221
2025-06-28,0.328
2025-06-29,0.338
2025-06-30,0.3278
2025-07-01,0.3156
2025-07-02,0.34
2025-07-03,0.34
2025-07-04,0.3231
2025-07-05,0.3236
