date,price
2024-03-22,29.36
2024-03-23,30.27
2024-03-24,31.57
2024-03-25,32.47
2024-03-26,32.13
2024-03-27,31.76
2024-03-28,32.53
2024-03-29,34.18
2024-03-30,32.92
2024-03-31,34.25
2024-04-01,32.7
2024-04-02,30.01
2024-04-03,30.64
2024-04-04,32.84
2024-04-05,33.1
2024-04-06,33.46
2024-04-07,33.87
2024-04-08,35.65
2024-04-09,32.8
2024-04-10,33.48
2024-04-11,33.74
2024-04-12,29.58
2024-04-13,25.58
2024-04-14,27.05
2024-04-15,26.47
2024-04-16,26.18
2024-04-17,25.39
2024-04-18,26.13
2024-04-19,26.06
2024-04-20,27.9
2024-04-21,27.44
2024-04-22,28.36
2024-04-23,28.12
2024-04-24,26.36
2024-04-25,26.44
2024-04-26,27.09
2024-04-27,27.8
2024-04-28,28.0
2024-04-29,27.58
2024-04-30,25.4
2024-05-01,25.52
2024-05-02,25.65
2024-05-03,26.89
2024-05-04,26.95
2024-05-05,27.67
2024-05-06,26.99
2024-05-07,27.11
2024-05-08,27.15
2024-05-09,27.65
2024-05-10,26.39
2024-05-11,26.46
2024-05-12,26.71
2024-05-13,26.27
2024-05-14,25.35
2024-05-15,27.1
2024-05-16,27.21
2024-05-17,28.29
2024-05-18,28.63
2024-05-19,27.59
2024-05-20,32.35
2024-05-21,31.72
2024-05-22,30.37
2024-05-23,32.42
2024-05-24,31.61
2024-05-25,31.69
2024-05-26,31.71
2024-05-27,31.89
2024-05-28,31.36
2024-05-29,30.39
2024-05-30,29.81
2024-05-31,29.59
2024-06-01,29.54
2024-06-02,28.93
2024-06-03,28.63
2024-06-04,29.73
2024-06-05,29.79
2024-06-06,29.05
2024-06-07,27.09
2024-06-08,26.86
2024-06-09,26.96
2024-06-10,26.62
2024-06-11,25.67
2024-06-12,26.11
2024-06-13,25.3
2024-06-14,25.12
2024-06-15,25.62
2024-06-16,25.45
2024-06-17,24.09
2024-06-18,23.05
2024-06-19,23.98
2024-06-20,24.04
2024-06-21,23.53
2024-06-22,23.35
2024-06-23,22.65
2024-06-24,22.97
2024-06-25,23.49
2024-06-26,23.66
2024-06-27,24.03
2024-06-28,23.35
2024-06-29,23.11
2024-06-30,23.66
2024-07-01,23.22
2024-07-02,23.26
2024-07-03,22.57
2024-07-04,20.77
2024-07-05,20.26
2024-07-06,21.19
2024-07-07,19.75
2024-07-08,20.4
2024-07-09,20.65
2024-07-10,21.02
2024-07-11,20.67
2024-07-12,21.48
2024-07-13,22.38
2024-07-14,22.57
2024-07-15,23.9
2024-07-16,23.6
2024-07-17,22.95
2024-07-18,23.0
2024-07-19,23.64
2024-07-20,23.93
2024-07-21,24.2
2024-07-22,23.45
2024-07-23,24.02
2024-07-24,22.89
2024-07-25,22.11
2024-07-26,22.91
2024-07-27,22.8
2024-07-28,22.64
2024-07-29,22.85
2024-07-30,22.22
2024-07-31,21.77
2024-08-01,21.53
2024-08-02,20.22
2024-08-03,19.66
2024-08-04,18.92
2024-08-05,17.67
2024-08-06,18.15
2024-08-07,18.11
2024-08-08,19.85
2024-08-09,19.43
2024-08-10,19.37
2024-08-11,18.42
2024-08-12,19.2
2024-08-13,19.18
2024-08-14,18.86
2024-08-15,18.55
2024-08-16,18.74
2024-08-17,18.77
2024-08-18,18.57
2024-08-19,18.94
2024-08-20,18.89
2024-08-21,19.47
2024-08-22,19.49
2024-08-23,20.6
2024-08-24,20.64
2024-08-25,20.11
2024-08-26,19.47
2024-08-27,18.31
2024-08-28,18.58
2024-08-29,18.48
2024-08-30,18.57
2024-08-31,18.38
2024-09-01,17.65
2024-09-02,18.26
2024-09-03,17.65
2024-09-04,18.08
2024-09-05,17.61
2024-09-06,17.3
2024-09-07,17.62
2024-09-08,17.94
2024-09-09,18.33
2024-09-10,18.57
2024-09-11,18.45
2024-09-12,18.56
2024-09-13,18.87
2024-09-14,18.6
2024-09-15,17.83
2024-09-16,17.74
2024-09-17,17.98
2024-09-18,18.31
2024-09-19,18.78
2024-09-20,18.99
2024-09-21,19.37
2024-09-22,18.91
2024-09-23,19.1
2024-09-24,19.42
2024-09-25,19.29
2024-09-26,20.3
2024-09-27,20.82
2024-09-28,20.57
2024-09-29,20.44
2024-09-30,19.47
2024-10-01,18.46
2024-10-02,17.95
2024-10-03,18.51
2024-10-04,18.75
2024-10-05,18.54
2024-10-06,18.76
2024-10-07,18.54
2024-10-08,18.34
2024-10-09,18.1
2024-10-10,18.17
2024-10-11,18.57
2024-10-12,18.78
2024-10-13,18.53
2024-10-14,19.48
2024-10-15,19.35
2024-10-16,19.35
2024-10-17,19.04
2024-10-18,19.36
2024-10-19,19.91
2024-10-20,20.18
2024-10-21,19.42
2024-10-22,19.06
2024-10-23,18.63
2024-10-24,18.86
2024-10-25,18.23
2024-10-26,18.2
2024-10-27,18.38
2024-10-28,18.98
2024-10-29,19.42
2024-10-30,19.45
2024-10-31,18.57
2024-11-01,18.45
2024-11-02,18.11
2024-11-03,17.79
2024-11-04,17.6
2024-11-05,18.22
2024-11-06,19.7
2024-11-07,20.26
2024-11-08,20.46
2024-11-09,21.78
2024-11-10,23.08
2024-11-11,24.39
2024-11-12,22.79
2024-11-13,22.09
2024-11-14,21.82
2024-11-15,22.99
2024-11-16,26.73
2024-11-17,25.86
2024-11-18,27.07
2024-11-19,26.19
2024-11-20,25.4
2024-11-21,27.37
2024-11-22,28.54
2024-11-23,29.64
2024-11-24,28.87
2024-11-25,29.76
2024-11-26,28.33
2024-11-27,32.92
2024-11-28,31.91
2024-11-29,31.95
2024-11-30,32.72
2024-12-01,33.31
2024-12-02,33.9
2024-12-03,34.71
2024-12-04,37.89
2024-12-05,35.65
2024-12-06,38.37
2024-12-07,37.24
2024-12-08,37.13
2024-12-09,31.46
2024-12-10,30.27
2024-12-11,33.51
2024-12-12,33.8
2024-12-13,34.03
2024-12-14,32.58
2024-12-15,33.76
2024-12-16,33.21
2024-12-17,32.43
2024-12-18,29.38
2024-12-19,26.72
2024-12-20,27.47
2024-12-21,26.05
2024-12-22,25.96
2024-12-23,27.53
2024-12-24,27.92
2024-12-25,27.31
2024-12-26,25.85
2024-12-27,25.95
2024-12-28,26.53
2024-12-29,25.5
2024-12-30,25.4
2024-12-31,24.98
2025-01-01,25.79
2025-01-02,26.88
2025-01-03,28.46
2025-01-04,28.36
2025-01-05,28.12
2025-01-06,28.69
2025-01-07,25.9
2025-01-08,25.28
2025-01-09,24.88
2025-01-10,25.67
2025-01-11,25.54
2025-01-12,25.26
2025-01-13,24.59
2025-01-14,25.38
2025-01-15,27.12
2025-01-16,26.68
2025-01-17,28.28
2025-01-18,26.89
2025-01-19,25.4
2025-01-20,25.76
2025-01-21,27.11
2025-01-22,26.79
2025-01-23,29.02
2025-01-24,27.39
2025-01-25,27.04
2025-01-26,26.18
2025-01-27,25.98
2025-01-28,24.98
2025-01-29,25.52
2025-01-30,26.26
2025-01-31,26.8
2025-02-01,24.97
2025-02-02,22.5
2025-02-03,22.07
2025-02-04,20.69
2025-02-05,20.7
2025-02-06,19.72
2025-02-07,19.82
2025-02-08,20.13
2025-02-09,20.16
2025-02-10,20.67
2025-02-11,20.24
2025-02-12,21.38
2025-02-13,21.14
2025-02-14,21.4
2025-02-15,20.82
2025-02-16,20.45
2025-02-17,20.9
2025-02-18,20.18
2025-02-19,21.16
2025-02-20,20.93
2025-02-21,20.19
2025-02-22,20.48
2025-02-23,20.76
2025-02-24,18.65
2025-02-25,18.87
2025-02-26,18.75
2025-02-27,18.69
2025-02-28,19.55
2025-03-01,19.07
2025-03-02,20.99
2025-03-03,18.69
2025-03-04,18.95
2025-03-05,20.48
2025-03-06,19.96
2025-03-07,20.36
2025-03-08,20.22
2025-03-09,17.95
2025-03-10,16.86
2025-03-11,17.85
2025-03-12,17.97
2025-03-13,17.88
2025-03-14,18.03
2025-03-15,17.96
2025-03-16,17.48
2025-03-17,17.83
2025-03-18,17.7
2025-03-19,18.55
2025-03-20,17.88
2025-03-21,17.7
2025-03-22,17.65
2025-03-23,17.8
2025-03-24,18.31
2025-03-25,18.42
2025-03-26,18.0
2025-03-27,17.78
2025-03-28,17.15
2025-03-29,16.61
2025-03-30,16.5
2025-03-31,16.78
2025-04-01,16.91
2025-04-02,16.11
2025-04-03,16.23
2025-04-04,16.22
2025-04-05,15.88
2025-04-06,14.15
2025-04-07,14.49
2025-04-08,14.07
2025-04-09,15.29
2025-04-10,14.8
2025-04-11,15.16
2025-04-12,15.54
2025-04-13,15.21
2025-04-14,15.22
2025-04-15,14.87
2025-04-16,14.86
2025-04-17,15.1
2025-04-18,15.44
2025-04-19,15.95
2025-04-20,16.06
2025-04-21,15.62
2025-04-22,16.67
2025-04-23,16.79
2025-04-24,16.73
2025-04-25,17.25
2025-04-26,17.04
2025-04-27,16.58
2025-04-28,17.0
2025-04-29,16.73
2025-04-30,16.5
2025-05-01,16.9
2025-05-02,17.22
2025-05-03,16.6
2025-05-04,16.02
2025-05-05,16.0
2025-05-06,16.23
2025-05-07,16.19
2025-05-08,18.63
2025-05-09,19.21
2025-05-10,20.7
2025-05-11,19.95
2025-05-12,19.78
2025-05-13,20.66
2025-05-14,19.87
2025-05-15,18.95
2025-05-16,18.7
2025-05-17,18.13
2025-05-18,18.74
2025-05-19,18.53
2025-05-20,18.42
2025-05-21,18.99
2025-05-22,19.69
2025-05-23,18.49
2025-05-24,18.41
2025-05-25,18.37
2025-05-26,18.25
2025-05-27,18.63
2025-05-28,18.47
2025-05-29,18.13
2025-05-30,16.96
2025-05-31,16.95
2025-06-01,17.11
2025-06-02,17.56
2025-06-03,17.58
2025-06-04,17.26
2025-06-05,16.32
2025-06-06,16.74
2025-06-07,17.22
2025-06-08,16.94
2025-06-09,17.87
2025-06-10,18.55
2025-06-11,18.09
2025-06-12,17.12
2025-06-13,16.92
2025-06-14,16.65
2025-06-15,16.68
2025-06-16,16.94
2025-06-17,16.49
2025-06-18,16.54
2025-06-19,16.72
2025-06-20,16.13
2025-06-21,15.59
2025-06-22,15.21
2025-06-23,16.39
2025-06-24,16.43
2025-06-25,16.24
2025-06-26,16.11
2025-06-27,16.19
2025-06-28,16.28
2025-06-29,16.96
2025-06-30,16.57
2025-07-01,15.94
2025-07-02,16.96
2025-07-03,16.97
2025-07-04,16.29
2025-07-05,16.39
