date,price
2024-07-27,2.49
2024-07-28,2.413
2024-07-29,2.288
2024-07-30,2.29
2024-07-31,2.175
2024-08-01,1.965
2024-08-02,1.662
2024-08-03,1.599
2024-08-04,1.439
2024-08-05,1.262
2024-08-06,1.418
2024-08-07,1.603
2024-08-08,1.909
2024-08-09,1.82
2024-08-10,1.814
2024-08-11,1.63
2024-08-12,1.726
2024-08-13,1.701
2024-08-14,1.578
2024-08-15,1.477
2024-08-16,1.393
2024-08-17,1.421
2024-08-18,1.393
2024-08-19,1.441
2024-08-20,1.556
2024-08-21,1.562
2024-08-22,1.624
2024-08-23,1.843
2024-08-24,1.969
2024-08-25,1.904
2024-08-26,1.771
2024-08-27,1.575
2024-08-28,1.583
2024-08-29,1.539
2024-08-30,1.548
2024-08-31,1.518
2024-09-01,1.398
2024-09-02,1.54
2024-09-03,1.49
2024-09-04,1.632
2024-09-05,1.53
2024-09-06,1.494
2024-09-07,1.478
2024-09-08,1.569
2024-09-09,1.67
2024-09-10,1.649
2024-09-11,1.542
2024-09-12,1.562
2024-09-13,1.636
2024-09-14,1.568
2024-09-15,1.502
2024-09-16,1.507
2024-09-17,1.534
2024-09-18,1.617
2024-09-19,1.771
2024-09-20,1.776
2024-09-21,1.78
2024-09-22,1.693
2024-09-23,1.743
2024-09-24,1.992
2024-09-25,2.016
2024-09-26,2.209
2024-09-27,2.268
2024-09-28,2.371
2024-09-29,2.454
2024-09-30,2.463
2024-10-01,2.303
2024-10-02,2.204
2024-10-03,2.038
2024-10-04,2.293
2024-10-05,2.252
2024-10-06,2.563
2024-10-07,2.527
2024-10-08,2.46
2024-10-09,2.322
2024-10-10,2.432
2024-10-11,2.759
2024-10-12,2.668
2024-10-13,2.661
2024-10-14,2.828
2024-10-15,2.646
2024-10-16,2.635
2024-10-17,2.543
2024-10-18,2.658
2024-10-19,2.648
2024-10-20,2.717
2024-10-21,2.503
2024-10-22,2.419
2024-10-23,2.513
2024-10-24,2.553
2024-10-25,2.313
2024-10-26,2.36
2024-10-27,2.487
2024-10-28,2.463
2024-10-29,2.615
2024-10-30,2.582
2024-10-31,2.378
2024-11-01,2.198
2024-11-02,2.176
2024-11-03,2.079
2024-11-04,1.918
2024-11-05,2.103
2024-11-06,2.419
2024-11-07,2.386
2024-11-08,2.322
2024-11-09,2.48
2024-11-10,2.747
2024-11-11,3.127
2024-11-12,3.247
2024-11-13,4.168
2024-11-14,3.586
2024-11-15,3.896
2024-11-16,3.606
2024-11-17,3.607
2024-11-18,3.452
2024-11-19,3.296
2024-11-20,3.049
2024-11-21,3.271
2024-11-22,3.211
2024-11-23,3.273
2024-11-24,3.169
2024-11-25,3.18
2024-11-26,3.014
2024-11-27,3.119
2024-11-28,3.081
2024-11-29,3.288
2024-11-30,3.18
2024-12-01,3.441
2024-12-02,3.121
2024-12-03,3.282
2024-12-04,3.189
2024-12-05,3.35
2024-12-06,3.489
2024-12-07,3.884
2024-12-08,3.721
2024-12-09,3.056
2024-12-10,2.854
2024-12-11,3.052
2024-12-12,2.949
2024-12-13,2.961
2024-12-14,2.845
2024-12-15,2.848
2024-12-16,2.747
2024-12-17,2.708
2024-12-18,2.306
2024-12-19,2.065
2024-12-20,2.103
2024-12-21,1.887
2024-12-22,1.916
2024-12-23,2.023
2024-12-24,2.05
2024-12-25,1.98
2024-12-26,1.838
2024-12-27,1.822
2024-12-28,1.923
2024-12-29,1.831
2024-12-30,1.823
2024-12-31,1.86
2025-01-01,1.853
2025-01-02,2.021
2025-01-03,2.165
2025-01-04,2.175
2025-01-05,2.101
2025-01-06,2.085
2025-01-07,1.853
2025-01-08,1.709
2025-01-09,1.541
2025-01-10,1.557
2025-01-11,1.576
2025-01-12,1.544
2025-01-13,1.49
2025-01-14,1.552
2025-01-15,1.772
2025-01-16,1.763
2025-01-17,1.874
2025-01-18,1.769
2025-01-19,1.534
2025-01-20,1.39
2025-01-21,1.454
2025-01-22,1.417
2025-01-23,1.419
2025-01-24,1.285
2025-01-25,1.278
2025-01-26,1.21
2025-01-27,1.182
2025-01-28,1.054
2025-01-29,1.184
2025-01-30,1.154
2025-01-31,1.136
2025-02-01,1.009
2025-02-02,0.9486
2025-02-03,0.8612
2025-02-04,0.8025
2025-02-05,0.794
2025-02-06,0.712
2025-02-07,0.6771
2025-02-08,0.718
2025-02-09,0.643
2025-02-10,0.6568
2025-02-11,0.6278
2025-02-12,0.6049
2025-02-13,0.59
2025-02-14,0.7289
2025-02-15,0.6871
2025-02-16,0.6579
2025-02-17,0.6311
2025-02-18,0.615
2025-02-19,0.6081
2025-02-20,0.6449
2025-02-21,0.6411
2025-02-22,0.7039
2025-02-23,0.659
2025-02-24,0.5559
2025-02-25,0.5489
2025-02-26,0.5767
2025-02-27,0.5843
2025-02-28,0.6281
2025-03-01,0.611
2025-03-02,0.7605
2025-03-03,0.643
2025-03-04,0.5741
2025-03-05,0.5819
2025-03-06,0.5718
2025-03-07,0.5331
2025-03-08,0.5341
2025-03-09,0.4411
2025-03-10,0.4287
2025-03-11,0.448
2025-03-12,0.4809
2025-03-13,0.47
2025-03-14,0.507
2025-03-15,0.501
2025-03-16,0.465
2025-03-17,0.5011
2025-03-18,0.48
2025-03-19,0.5172
2025-03-20,0.5061
2025-03-21,0.4879
2025-03-22,0.508
2025-03-23,0.5169
2025-03-24,0.5579
2025-03-25,0.549
2025-03-26,0.5277
2025-03-27,0.5201
2025-03-28,0.461
2025-03-29,0.4319
2025-03-30,0.4359
2025-03-31,0.4191
2025-04-01,0.423
2025-04-02,0.374
2025-04-03,0.3839
2025-04-04,0.388
2025-04-05,0.3859
2025-04-06,0.3349
2025-04-07,0.344
2025-04-08,0.3191
2025-04-09,0.3719
2025-04-10,0.3651
2025-04-11,0.3968
2025-04-12,0.4669
2025-04-13,0.4443
2025-04-14,0.43
2025-04-15,0.3889
2025-04-16,0.378
2025-04-17,0.3769
2025-04-18,0.4021
2025-04-19,0.417
2025-04-20,0.428
2025-04-21,0.4231
2025-04-22,0.5011
2025-04-23,0.539
2025-04-24,0.5551
2025-04-25,0.6385
2025-04-26,0.6519
2025-04-27,0.6147
2025-04-28,0.6189
2025-04-29,0.6029
2025-04-30,0.6331
2025-05-01,0.6167
2025-05-02,0.6456
2025-05-03,0.5682
2025-05-04,0.5489
2025-05-05,0.5478
2025-05-06,0.5611
2025-05-07,0.5751
2025-05-08,0.6918
2025-05-09,0.7495
2025-05-10,0.9455
2025-05-11,0.9108
2025-05-12,1.148
2025-05-13,1.175
2025-05-14,1.132
2025-05-15,0.9859
2025-05-16,1.005
2025-05-17,0.9319
2025-05-18,1.07
2025-05-19,0.9923
2025-05-20,0.9733
2025-05-21,1.117
2025-05-22,1.202
2025-05-23,1.113
2025-05-24,1.119
2025-05-25,1.104
2025-05-26,1.126
2025-05-27,1.109
2025-05-28,1.124
2025-05-29,1.055
2025-05-30,0.888
2025-05-31,0.8521
2025-06-01,0.874
2025-06-02,0.9488
2025-06-03,0.9734
2025-06-04,0.8817
2025-06-05,0.8261
2025-06-06,0.8148
2025-06-07,0.8726
2025-06-08,0.8893
2025-06-09,1.027
2025-06-10,1.028
2025-06-11,0.9559
2025-06-12,0.8865
2025-06-13,0.8531
2025-06-14,0.8329
2025-06-15,0.851
2025-06-16,0.8339
2025-06-17,0.7709
2025-06-18,0.792
2025-06-19,0.793
2025-06-20,0.7609
2025-06-21,0.7002
2025-06-22,0.6889
2025-06-23,0.8308
2025-06-24,0.8691
2025-06-25,0.7951
2025-06-26,0.7559
2025-06-27,0.773
2025-06-28,0.8301
2025-06-29,0.8704
2025-06-30,0.8665
2025-07-01,0.7837
2025-07-02,0.9087
2025-07-03,0.9228
2025-07-04,0.8467
2025-07-05,0.8571
