date,price
2024-03-18,0.1118
2024-03-19,0.1013
2024-03-20,0.1114
2024-03-21,0.11
2024-03-22,0.1066
2024-03-23,0.1066
2024-03-24,0.11
2024-03-25,0.1172
2024-03-26,0.1203
2024-03-27,0.1136
2024-03-28,0.1161
2024-03-29,0.1159
2024-03-30,0.1136
2024-03-31,0.1158
2024-04-01,0.1099
2024-04-02,0.1036
2024-04-03,0.1025
2024-04-04,0.1052
2024-04-05,0.1047
2024-04-06,0.106
2024-04-07,0.1059
2024-04-08,0.1095
2024-04-09,0.1034
2024-04-10,0.1023
2024-04-11,0.09994
2024-04-12,0.08803
2024-04-13,0.07903
2024-04-14,0.08364
2024-04-15,0.07958
2024-04-16,0.07993
2024-04-17,0.07819
2024-04-18,0.08231
2024-04-19,0.08033
2024-04-20,0.0869
2024-04-21,0.08884
2024-04-22,0.09043
2024-04-23,0.1572
2024-04-24,0.1247
2024-04-25,0.1196
2024-04-26,0.1111
2024-04-27,0.1064
2024-04-28,0.1035
2024-04-29,0.1032
2024-04-30,0.09381
2024-05-01,0.0995
2024-05-02,0.1003
2024-05-03,0.1113
2024-05-04,0.1091
2024-05-05,0.1104
2024-05-06,0.1138
2024-05-07,0.1079
2024-05-08,0.1059
2024-05-09,0.1106
2024-05-10,0.1057
2024-05-11,0.1067
2024-05-12,0.1086
2024-05-13,0.1075
2024-05-14,0.1053
2024-05-15,0.1109
2024-05-16,0.1123
2024-05-17,0.1149
2024-05-18,0.1146
2024-05-19,0.111
2024-05-20,0.1175
2024-05-21,0.1151
2024-05-22,0.1134
2024-05-23,0.109
2024-05-24,0.108
2024-05-25,0.1086
2024-05-26,0.1067
2024-05-27,0.1068
2024-05-28,0.1044
2024-05-29,0.1032
2024-05-30,0.1007
2024-05-31,0.1001
2024-06-01,0.0999
2024-06-02,0.09917
2024-06-03,0.1013
2024-06-04,0.1024
2024-06-05,0.1045
2024-06-06,0.1014
2024-06-07,0.09412
2024-06-08,0.09029
2024-06-09,0.09147
2024-06-10,0.08912
2024-06-11,0.08733
2024-06-12,0.09173
2024-06-13,0.08824
2024-06-14,0.08633
2024-06-15,0.08485
2024-06-16,0.08632
2024-06-17,0.08021
2024-06-18,0.07767
2024-06-19,0.08055
2024-06-20,0.08033
2024-06-21,0.07875
2024-06-22,0.07782
2024-06-23,0.07629
2024-06-24,0.07751
2024-06-25,0.07883
2024-06-26,0.07624
2024-06-27,0.07865
2024-06-28,0.07682
2024-06-29,0.07616
2024-06-30,0.07657
2024-07-01,0.07661
2024-07-02,0.07802
2024-07-03,0.07214
2024-07-04,0.06635
2024-07-05,0.06715
2024-07-06,0.06997
2024-07-07,0.0646
2024-07-08,0.06637
2024-07-09,0.06785
2024-07-10,0.06643
2024-07-11,0.06563
2024-07-12,0.06736
2024-07-13,0.07145
2024-07-14,0.07215
2024-07-15,0.07827
2024-07-16,0.07664
2024-07-17,0.0753
2024-07-18,0.07273
2024-07-19,0.0747
2024-07-20,0.0747
2024-07-21,0.07478
2024-07-22,0.07078
2024-07-23,0.06827
2024-07-24,0.06647
2024-07-25,0.06599
2024-07-26,0.06843
2024-07-27,0.06873
2024-07-28,0.06759
2024-07-29,0.06716
2024-07-30,0.06598
2024-07-31,0.06294
2024-08-01,0.06331
2024-08-02,0.05949
2024-08-03,0.05825
2024-08-04,0.05529
2024-08-05,0.05216
2024-08-06,0.05514
2024-08-07,0.05142
2024-08-08,0.05911
2024-08-09,0.05631
2024-08-10,0.05593
2024-08-11,0.05264
2024-08-12,0.05389
2024-08-13,0.05429
2024-08-14,0.05365
2024-08-15,0.05188
2024-08-16,0.05191
2024-08-17,0.05262
2024-08-18,0.05314
2024-08-19,0.05436
2024-08-20,0.05369
2024-08-21,0.05477
2024-08-22,0.05527
2024-08-23,0.05952
2024-08-24,0.06048
2024-08-25,0.05901
2024-08-26,0.05596
2024-08-27,0.05256
2024-08-28,0.05127
2024-08-29,0.05118
2024-08-30,0.05132
2024-08-31,0.05002
2024-09-01,0.04796
2024-09-02,0.05084
2024-09-03,0.04887
2024-09-04,0.04933
2024-09-05,0.04815
2024-09-06,0.04721
2024-09-07,0.04861
2024-09-08,0.0495
2024-09-09,0.05105
2024-09-10,0.0509
2024-09-11,0.05001
2024-09-12,0.05061
2024-09-13,0.05241
2024-09-14,0.05167
2024-09-15,0.0501
2024-09-16,0.04951
2024-09-17,0.04992
2024-09-18,0.05074
2024-09-19,0.05166
2024-09-20,0.05287
2024-09-21,0.0561
2024-09-22,0.05378
2024-09-23,0.05791
2024-09-24,0.05773
2024-09-25,0.0585
2024-09-26,0.06173
2024-09-27,0.06188
2024-09-28,0.06119
2024-09-29,0.06147
2024-09-30,0.05744
2024-10-01,0.05282
2024-10-02,0.05162
2024-10-03,0.05174
2024-10-04,0.05477
2024-10-05,0.05309
2024-10-06,0.05429
2024-10-07,0.05241
2024-10-08,0.05232
2024-10-09,0.05021
2024-10-10,0.05032
2024-10-11,0.05139
2024-10-12,0.05157
2024-10-13,0.05124
2024-10-14,0.05346
2024-10-15,0.05612
2024-10-16,0.05344
2024-10-17,0.05113
2024-10-18,0.05177
2024-10-19,0.0534
2024-10-20,0.0559
2024-10-21,0.05285
2024-10-22,0.05255
2024-10-23,0.05132
2024-10-24,0.0511
2024-10-25,0.04779
2024-10-26,0.04819
2024-10-27,0.04884
2024-10-28,0.0488
2024-10-29,0.04968
2024-10-30,0.04858
2024-10-31,0.04626
2024-11-01,0.0456
2024-11-02,0.04494
2024-11-03,0.04285
2024-11-04,0.04252
2024-11-05,0.04611
2024-11-06,0.049
2024-11-07,0.04925
2024-11-08,0.05219
2024-11-09,0.05279
2024-11-10,0.05493
2024-11-11,0.05841
2024-11-12,0.06471
2024-11-13,0.05956
2024-11-14,0.06389
2024-11-15,0.07247
2024-11-16,0.09022
2024-11-17,0.09022
2024-11-18,0.1443
2024-11-19,0.1333
2024-11-20,0.1218
2024-11-21,0.1269
2024-11-22,0.1471
2024-11-23,0.1546
2024-11-24,0.1472
2024-11-25,0.1349
2024-11-26,0.1392
2024-11-27,0.142
2024-11-28,0.1448
2024-11-29,0.178
2024-11-30,0.1703
2024-12-01,0.2087
2024-12-02,0.3116
2024-12-03,0.3147
2024-12-04,0.2882
2024-12-05,0.2924
2024-12-06,0.368
2024-12-07,0.3325
2024-12-08,0.3331
2024-12-09,0.2803
2024-12-10,0.2902
2024-12-11,0.2991
2024-12-12,0.2915
2024-12-13,0.3146
2024-12-14,0.2943
2024-12-15,0.296
2024-12-16,0.2825
2024-12-17,0.2847
2024-12-18,0.2724
2024-12-19,0.2675
2024-12-20,0.2708
2024-12-21,0.2538
2024-12-22,0.2654
2024-12-23,0.2914
2024-12-24,0.3286
2024-12-25,0.3129
2024-12-26,0.2843
2024-12-27,0.2763
2024-12-28,0.2939
2024-12-29,0.2784
2024-12-30,0.278
2024-12-31,0.2684
2025-01-01,0.2942
2025-01-02,0.2919
2025-01-03,0.3136
2025-01-04,0.3059
2025-01-05,0.3014
2025-01-06,0.3083
2025-01-07,0.2892
2025-01-08,0.2849
2025-01-09,0.2688
2025-01-10,0.2816
2025-01-11,0.292
2025-01-12,0.278
2025-01-13,0.2751
2025-01-14,0.2871
2025-01-15,0.3224
2025-01-16,0.3627
2025-01-17,0.3748
2025-01-18,0.3544
2025-01-19,0.326
2025-01-20,0.3417
2025-01-21,0.3379
2025-01-22,0.3259
2025-01-23,0.3281
2025-01-24,0.327
2025-01-25,0.3322
2025-01-26,0.3229
2025-01-27,0.3147
2025-01-28,0.2989
2025-01-29,0.3089
2025-01-30,0.316
2025-01-31,0.3066
2025-02-01,0.285
2025-02-02,0.2532
2025-02-03,0.2752
2025-02-04,0.2501
2025-02-05,0.2386
2025-02-06,0.2287
2025-02-07,0.2328
2025-02-08,0.2342
2025-02-09,0.2292
2025-02-10,0.2319
2025-02-11,0.2288
2025-02-12,0.2352
2025-02-13,0.2255
2025-02-14,0.2308
2025-02-15,0.2293
2025-02-16,0.2201
2025-02-17,0.2124
2025-02-18,0.2069
2025-02-19,0.2158
2025-02-20,0.2222
2025-02-21,0.2143
2025-02-22,0.2165
2025-02-23,0.2112
2025-02-24,0.1965
2025-02-25,0.1982
2025-02-26,0.1959
2025-02-27,0.1995
2025-02-28,0.2134
2025-03-01,0.2526
2025-03-02,0.2641
2025-03-03,0.2232
2025-03-04,0.2414
2025-03-05,0.2492
2025-03-06,0.2377
2025-03-07,0.2325
2025-03-08,0.2269
2025-03-09,0.1994
2025-03-10,0.1893
2025-03-11,0.1971
2025-03-12,0.2009
2025-03-13,0.1893
2025-03-14,0.191
2025-03-15,0.1928
2025-03-16,0.1848
2025-03-17,0.1915
2025-03-18,0.1884
2025-03-19,0.1976
2025-03-20,0.1899
2025-03-21,0.1845
2025-03-22,0.1827
2025-03-23,0.1859
2025-03-24,0.1931
2025-03-25,0.1947
2025-03-26,0.1917
2025-03-27,0.1935
2025-03-28,0.1822
2025-03-29,0.172
2025-03-30,0.1677
2025-03-31,0.1631
2025-04-01,0.1702
2025-04-02,0.1613
2025-04-03,0.1626
2025-04-04,0.1642
2025-04-05,0.162
2025-04-06,0.14
2025-04-07,0.1525
2025-04-08,0.146
2025-04-09,0.1687
2025-04-10,0.1677
2025-04-11,0.1674
2025-04-12,0.177
2025-04-13,0.1652
2025-04-14,0.1652
2025-04-15,0.157
2025-04-16,0.1575
2025-04-17,0.163
2025-04-18,0.1652
2025-04-19,0.1669
2025-04-20,0.166
2025-04-21,0.1692
2025-04-22,0.1814
2025-04-23,0.1805
2025-04-24,0.1885
2025-04-25,0.1927
2025-04-26,0.1916
2025-04-27,0.1904
2025-04-28,0.1908
2025-04-29,0.1862
2025-04-30,0.1821
2025-05-01,0.1861
2025-05-02,0.1871
2025-05-03,0.1803
2025-05-04,0.1761
2025-05-05,0.1735
2025-05-06,0.1771
2025-05-07,0.1758
2025-05-08,0.1953
2025-05-09,0.2025
2025-05-10,0.2192
2025-05-11,0.2069
2025-05-12,0.215
2025-05-13,0.2162
2025-05-14,0.2061
2025-05-15,0.1981
2025-05-16,0.1956
2025-05-17,0.1911
2025-05-18,0.1969
2025-05-19,0.194
2025-05-20,0.195
2025-05-21,0.1981
2025-05-22,0.2047
2025-05-23,0.1906
2025-05-24,0.1885
2025-05-25,0.1882
2025-05-26,0.186
2025-05-27,0.1873
2025-05-28,0.1861
2025-05-29,0.1797
2025-05-30,0.1674
2025-05-31,0.1675
2025-06-01,0.1688
2025-06-02,0.1715
2025-06-03,0.172
2025-06-04,0.1672
2025-06-05,0.1595
2025-06-06,0.1646
2025-06-07,0.1688
2025-06-08,0.1694
2025-06-09,0.178
2025-06-10,0.1801
2025-06-11,0.1729
2025-06-12,0.163
2025-06-13,0.1591
2025-06-14,0.155
2025-06-15,0.1545
2025-06-16,0.1535
2025-06-17,0.1486
2025-06-18,0.148
2025-06-19,0.1478
2025-06-20,0.1446
2025-06-21,0.138
2025-06-22,0.1337
2025-06-23,0.1517
2025-06-24,0.1541
2025-06-25,0.1499
2025-06-26,0.1429
2025-06-27,0.1461
2025-06-28,0.1478
2025-06-29,0.1527
2025-06-30,0.1501
2025-07-01,0.1448
2025-07-02,0.1554
2025-07-03,0.1591
2025-07-04,0.1531
2025-07-05,0.1551
